question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall,avg_score
What is the minimum initial deposit required to open a personal savings account at VietBank?,"The minimum initial deposit required to open a personal savings account at VietBank is 500,000 VND.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.', 'Business account requires: business registration certificate, company seal specimen, board resolution, tax registration certificate, minimum deposit 10,000,000 VND.']","The minimum initial deposit required is 500,000 VND.",simple,0.9197,0.8362,0.8777,0.9723,0.901475
What is the annual interest rate for VietBank's Standard Savings account?,The annual interest rate for VietBank's Standard Savings account is 4.5%.,"['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.', 'Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.']",The Standard Savings account offers 4.5% annual interest.,simple,0.8613,0.8266,0.9895,0.8967,0.893525
How many physical branches does VietBank currently operate across Vietnam?,VietBank currently operates more than 250 branches across Vietnam.,"['Branch network: 250+ branches nationwide. ATM network: 1,500+ ATMs. Branches: Monday-Friday 8:00-16:30, Saturday 8:00-11:30. ATMs: 24/7. Online banking: 24/7 (maintenance window: Sunday 2:00-4:00 AM).', 'Exchange rates updated every 30 minutes. Rate spread ±0.5% for < 10,000 USD. SWIFT transfers 1-3 business days. Correspondent banks: JP Morgan, Citibank, HSBC, Standard Chartered. Max remittance: 50,000 USD. International transfers require dual authorization.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.']",VietBank currently operates more than 250 branches across Vietnam nationwide.,simple,0.8424,0.9043,0.7444,0.7734,0.8161250000000001
What is the maximum credit limit for a VietBank Platinum credit card?,The maximum credit limit for a VietBank Platinum credit card is 1 billion VND (1B VND).,"['VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.']",The maximum credit limit for a Platinum card is 1 billion VND.,simple,0.8994,0.6587,0.593,0.7638,0.7287250000000001
What is the session timeout duration for VietBank's online banking?,The session timeout duration for VietBank's online banking is 5 minutes of inactivity.,"['VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). All transactions encrypted with TLS 1.3. Passwords: min 8 chars, change every 90 days. Account lockout after 5 failed attempts. OTP validity: 3 minutes.']",The session timeout is 5 minutes of inactivity.,simple,0.799,0.8814,0.691,0.6788,0.76255
What is the fee for interbank transfers via Napas?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Rate spread ±0.5% for < 10,000 USD.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'Exchange rates updated every 30 minutes. Rate spread ±0.5% for < 10,000 USD. SWIFT transfers 1-3 business days. Correspondent banks: JP Morgan, Citibank, HSBC, Standard Chartered. Max remittance: 50,000 USD. International transfers require dual authorization.', 'L/C issuance fee 0.15-0.25%. Documentary collections 0.1%. Bank guarantees 1-2% per annum. Trade loans preferential rates for exporters.']","The fee for interbank transfers via Napas is 5,500 VND per transaction.",simple,0.9973,0.8274,0.8081,0.6775,0.827575
What is the minimum payment required for VietBank credit cards?,"The minimum payment for VietBank credit cards is 5% of the outstanding balance or 500,000 VND, whichever is higher.","['Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.']","The minimum payment is 5% of outstanding balance or 500,000 VND, whichever is higher.",simple,0.8364,0.8611,0.6619,0.8576,0.80425
How long does the credit assessment process take for a loan application?,The credit assessment process for a loan application takes 3-5 business days.,"['Loan application: 1) Submit application with documents. 2) Credit assessment (3-5 business days). 3) Collateral valuation. 4) Loan committee approval. 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents.', 'VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'Overdue classification: 0-10 days Current (0%), 10-30 Special Mention (5%), 31-90 Substandard (20%), 91-180 Doubtful (50%), 181+ Loss (100%). Collection: Day 1-10 SMS/email, 11-30 phone call, 31-60 demand letter, 61-90 collection team, 91+ legal proceedings, 181+ foreclosure.']",The credit assessment takes 3-5 business days.,simple,0.8319,0.8208,0.7278,1.0,0.8451249999999999
What is the interest rate for VietBank's Education Loan?,"Based on VietBank's documentation, Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Restructuring options: term extension (up to 50% of original), interest rate adjustment, grace period (up to 6 months), partial forgiveness (exceptional, board approval required).","['Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.', 'Restructuring options: term extension (up to 50% of original), interest rate adjustment, grace period (up to 6 months), partial forgiveness (exceptional, board approval required).', 'Loan application: 1) Submit application with documents. 2) Credit assessment (3-5 business days). 3) Collateral valuation. 4) Loan committee approval. 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents.']",The Education Loan has a preferential rate of 6.5%.,simple,0.8789,0.7442,0.8987,0.6979,0.8049249999999999
What is the annual fee for a VietBank Gold credit card?,"The annual fee for a VietBank Gold credit card is 500,000 VND.","['VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.']","The annual fee for a Gold credit card is 500,000 VND.",simple,0.8967,0.654,0.6406,0.8397,0.75775
What is the cashback rate for VietBank Signature credit card?,"Based on VietBank's documentation, VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Signature - 3,000,000 VND, 1-5B, 2.0%. Interest on revolving balance: 1.5-2.5% per month.","['VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.']",The Signature credit card offers 2.0% cashback.,simple,0.9391,0.8671,0.7861,0.7899,0.84555
How many ATMs does VietBank have?,"Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Student Account - 3.0% interest, no fees for students under 25.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.', 'VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.']","VietBank has 1,500+ ATMs.",simple,0.7617,0.778,0.7447,0.9257,0.802525
What is the minimum investment for VietBank mutual funds?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Current Account - 0.1% interest, unlimited transactions.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.', 'Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.']","The minimum investment for mutual funds is 1,000,000 VND.",simple,0.9075,0.6737,0.8389,0.7815,0.8003999999999999
What are VietBank branch operating hours on weekdays?,VietBank currently operates more than 250 branches across Vietnam.,"['VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'Branch network: 250+ branches nationwide. ATM network: 1,500+ ATMs. Branches: Monday-Friday 8:00-16:30, Saturday 8:00-11:30. ATMs: 24/7. Online banking: 24/7 (maintenance window: Sunday 2:00-4:00 AM).']",Branches operate Monday-Friday from 8:00 to 16:30.,simple,0.8258,0.9112,0.9237,0.9131,0.8934500000000001
What is the late payment fee for VietBank credit cards?,"Based on VietBank's documentation, Late payment fee: 4% of minimum payment amount. Payment due date: 15 days after statement date. VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback.","['Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.']",The late payment fee is 4% of the minimum payment amount.,simple,0.8129,0.8191,0.8398,0.9176,0.84735
What is the target annual return for VietBank Growth Fund?,"Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Student Account - 3.0% interest, no fees for students under 25.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.', 'VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.']",The VietBank Growth Fund targets 15% annual return.,simple,0.8417,0.8314,0.6672,0.7004,0.760175
How many failed login attempts cause account lockout?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months).","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.', 'Business account requires: business registration certificate, company seal specimen, board resolution, tax registration certificate, minimum deposit 10,000,000 VND.']",Account lockout occurs after 5 failed attempts.,simple,0.945,0.9856,0.7914,0.9204,0.9106
What is the OTP validity period?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Late payment fee: 4% of minimum payment amount.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). All transactions encrypted with TLS 1.3. Passwords: min 8 chars, change every 90 days. Account lockout after 5 failed attempts. OTP validity: 3 minutes.']",OTP validity is 3 minutes.,simple,0.9089,0.7855,0.8434,0.9738,0.8778999999999999
